Date,VIX,MSFT_Sentiment,AAPL_Sentiment,NVDA_Sentiment,AMZN_Sentiment,GOOGL_Sentiment
2015-01-01,,0.45,0.45,0.45,0.45,0.45
2015-01-02,17.790000915527344,0.4720999908447266,0.4720999908447266,0.4720999908447266,0.4720999908447266,0.4720999908447266
2015-01-05,19.920000076293945,0.45079999923706054,0.45079999923706054,0.45079999923706054,0.45079999923706054,0.45079999923706054
2015-01-06,21.1200008392334,0.43879999160766603,0.43879999160766603,0.43879999160766603,0.43879999160766603,0.43879999160766603
2015-01-07,19.309999465942383,0.4569000053405762,0.4569000053405762,0.4569000053405762,0.4569000053405762,0.4569000053405762
2015-01-08,17.010000228881836,0.47989999771118164,0.47989999771118164,0.47989999771118164,0.47989999771118164,0.47989999771118164
2015-01-09,17.549999237060547,0.47450000762939454,0.47450000762939454,0.47450000762939454,0.47450000762939454,0.47450000762939454
2015-01-12,19.600000381469727,0.45399999618530273,0.45399999618530273,0.45399999618530273,0.45399999618530273,0.45399999618530273
2015-01-13,20.559999465942383,0.44440000534057617,0.44440000534057617,0.44440000534057617,0.44440000534057617,0.44440000534057617
2015-01-14,21.479999542236328,0.43520000457763675,0.43520000457763675,0.43520000457763675,0.43520000457763675,0.43520000457763675
2015-01-15,22.389999389648438,0.4261000061035156,0.4261000061035156,0.4261000061035156,0.4261000061035156,0.4261000061035156
2015-01-16,20.950000762939453,0.4404999923706055,0.4404999923706055,0.4404999923706055,0.4404999923706055,0.4404999923706055
2015-01-19,,0.45,0.45,0.45,0.45,0.45
2015-01-20,19.889999389648438,0.45110000610351564,0.45110000610351564,0.45110000610351564,0.45110000610351564,0.45110000610351564
2015-01-21,18.850000381469727,0.46149999618530274,0.46149999618530274,0.46149999618530274,0.46149999618530274,0.46149999618530274
2015-01-22,16.399999618530273,0.48600000381469727,0.48600000381469727,0.48600000381469727,0.48600000381469727,0.48600000381469727
2015-01-23,16.65999984741211,0.4834000015258789,0.4834000015258789,0.4834000015258789,0.4834000015258789,0.4834000015258789
2015-01-26,15.520000457763672,0.49479999542236325,0.49479999542236325,0.49479999542236325,0.49479999542236325,0.49479999542236325
2015-01-27,17.219999313354492,0.4778000068664551,0.4778000068664551,0.4778000068664551,0.4778000068664551,0.4778000068664551
2015-01-28,20.440000534057617,0.4455999946594238,0.4455999946594238,0.4455999946594238,0.4455999946594238,0.4455999946594238
2015-01-29,18.760000228881836,0.4623999977111816,0.4623999977111816,0.4623999977111816,0.4623999977111816,0.4623999977111816
2015-01-30,20.969999313354492,0.4403000068664551,0.4403000068664551,0.4403000068664551,0.4403000068664551,0.4403000068664551
2015-02-02,19.43000030517578,0.4556999969482422,0.4556999969482422,0.4556999969482422,0.4556999969482422,0.4556999969482422
2015-02-03,17.329999923706055,0.47670000076293945,0.47670000076293945,0.47670000076293945,0.47670000076293945,0.47670000076293945
2015-02-04,18.329999923706055,0.46670000076293944,0.46670000076293944,0.46670000076293944,0.46670000076293944,0.46670000076293944
2015-02-05,16.850000381469727,0.48149999618530276,0.48149999618530276,0.48149999618530276,0.48149999618530276,0.48149999618530276
