ticker1,ticker2,fundamental_similarity,similarity_strength
GE,BAC,0.9999999999999999,high
GE,HD,0.9999999999999999,high
GE,Price_to_SMA50,0.0,low
GE,ADBE,0.9999999999999999,high
GE,AVGO,0.9999999999999999,high
GE,ATR_14,0.0,low
GE,QCOM,0.9999999999999999,high
GE,KO,0.9999999999999999,high
GE,JNJ,0.9999999999999999,high
GE,CRM,0.9999999999999999,high
GE,TSLA,0.9999999999999999,high
GE,ORCL,0.9999999999999999,high
GE,SBUX,0.9999999999999999,high
GE,CAT,0.9999999999999999,high
GE,AXP,0.9999999999999999,high
GE,INTC,0.9999999999999999,high
GE,AAPL,0.9999999999999999,high
GE,META,0.9999999999999999,high
GE,CSCO,0.9999999999999999,high
GE,RSI_14,0.0,low
GE,LLY,0.9999999999999999,high
GE,MA,0.9999999999999999,high
GE,CMCSA,0.9999999999999999,high
GE,TMO,0.9999999999999999,high
GE,PFE,0.9999999999999999,high
GE,ACN,0.9999999999999999,high
GE,BB_Width,0.0,low
GE,LogRet_5d,0.0,low
GE,LogRet_20d,0.0,low
GE,IBM,0.9999999999999999,high
GE,ABBV,0.9999999999999999,high
GE,AMZN,0.9999999999999999,high
GE,FDX,0.9999999999999999,high
GE,PEP,0.9999999999999999,high
GE,JPM,0.9999999999999999,high
GE,UNH,0.9999999999999999,high
GE,MCD,0.9999999999999999,high
GE,BRK-B,0.9999999999999999,high
GE,MRK,0.9999999999999999,high
GE,DIS,0.9999999999999999,high
GE,MACD_Sig,0.0,low
GE,MMM,0.9999999999999999,high
GE,XOM,0.9999999999999999,high
GE,VZ,0.9999999999999999,high
GE,MACD,0.0,low
GE,MSFT,0.9999999999999999,high
GE,Vol_30d,0.0,low
GE,NKE,0.9999999999999999,high
GE,V,0.9999999999999999,high
GE,WMT,0.9999999999999999,high
GE,CVX,0.9999999999999999,high
GE,NVDA,0.9999999999999999,high
GE,LogRet_1d,0.0,low
GE,PG,0.9999999999999999,high
GE,MACD_Hist,0.0,low
GE,COST,0.9999999999999999,high
GE,TXN,0.9999999999999999,high
GE,GOOGL,0.9999999999999999,high
GE,NFLX,0.9999999999999999,high
GE,GOOG,0.9999999999999999,high
BAC,HD,0.9999999999999999,high
BAC,Price_to_SMA50,0.0,low
BAC,ADBE,0.9999999999999999,high
BAC,AVGO,0.9999999999999999,high
BAC,ATR_14,0.0,low
BAC,QCOM,0.9999999999999999,high
BAC,KO,0.9999999999999999,high
BAC,JNJ,0.9999999999999999,high
BAC,CRM,0.9999999999999999,high
BAC,TSLA,0.9999999999999999,high
BAC,ORCL,0.9999999999999999,high
BAC,SBUX,0.9999999999999999,high
BAC,CAT,0.9999999999999999,high
BAC,AXP,0.9999999999999999,high
BAC,INTC,0.9999999999999999,high
BAC,AAPL,0.9999999999999999,high
BAC,META,0.9999999999999999,high
BAC,CSCO,0.9999999999999999,high
BAC,RSI_14,0.0,low
BAC,LLY,0.9999999999999999,high
BAC,MA,0.9999999999999999,high
BAC,CMCSA,0.9999999999999999,high
BAC,TMO,0.9999999999999999,high
BAC,PFE,0.9999999999999999,high
BAC,ACN,0.9999999999999999,high
BAC,BB_Width,0.0,low
BAC,LogRet_5d,0.0,low
BAC,LogRet_20d,0.0,low
BAC,IBM,0.9999999999999999,high
BAC,ABBV,0.9999999999999999,high
BAC,AMZN,0.9999999999999999,high
BAC,FDX,0.9999999999999999,high
BAC,PEP,0.9999999999999999,high
BAC,JPM,0.9999999999999999,high
BAC,UNH,0.9999999999999999,high
BAC,MCD,0.9999999999999999,high
BAC,BRK-B,0.9999999999999999,high
BAC,MRK,0.9999999999999999,high
BAC,DIS,0.9999999999999999,high
BAC,MACD_Sig,0.0,low
BAC,MMM,0.9999999999999999,high
BAC,XOM,0.9999999999999999,high
BAC,VZ,0.9999999999999999,high
BAC,MACD,0.0,low
BAC,MSFT,0.9999999999999999,high
BAC,Vol_30d,0.0,low
BAC,NKE,0.9999999999999999,high
BAC,V,0.9999999999999999,high
BAC,WMT,0.9999999999999999,high
BAC,CVX,0.9999999999999999,high
BAC,NVDA,0.9999999999999999,high
BAC,LogRet_1d,0.0,low
BAC,PG,0.9999999999999999,high
BAC,MACD_Hist,0.0,low
BAC,COST,0.9999999999999999,high
BAC,TXN,0.9999999999999999,high
BAC,GOOGL,0.9999999999999999,high
BAC,NFLX,0.9999999999999999,high
BAC,GOOG,0.9999999999999999,high
HD,Price_to_SMA50,0.0,low
HD,ADBE,0.9999999999999999,high
HD,AVGO,0.9999999999999999,high
HD,ATR_14,0.0,low
HD,QCOM,0.9999999999999999,high
HD,KO,0.9999999999999999,high
HD,JNJ,0.9999999999999999,high
HD,CRM,0.9999999999999999,high
HD,TSLA,0.9999999999999999,high
HD,ORCL,0.9999999999999999,high
HD,SBUX,0.9999999999999999,high
HD,CAT,0.9999999999999999,high
HD,AXP,0.9999999999999999,high
HD,INTC,0.9999999999999999,high
HD,AAPL,0.9999999999999999,high
HD,META,0.9999999999999999,high
HD,CSCO,0.9999999999999999,high
HD,RSI_14,0.0,low
HD,LLY,0.9999999999999999,high
HD,MA,0.9999999999999999,high
HD,CMCSA,0.9999999999999999,high
HD,TMO,0.9999999999999999,high
HD,PFE,0.9999999999999999,high
HD,ACN,0.9999999999999999,high
HD,BB_Width,0.0,low
HD,LogRet_5d,0.0,low
HD,LogRet_20d,0.0,low
HD,IBM,0.9999999999999999,high
HD,ABBV,0.9999999999999999,high
HD,AMZN,0.9999999999999999,high
HD,FDX,0.9999999999999999,high
HD,PEP,0.9999999999999999,high
HD,JPM,0.9999999999999999,high
HD,UNH,0.9999999999999999,high
HD,MCD,0.9999999999999999,high
HD,BRK-B,0.9999999999999999,high
HD,MRK,0.9999999999999999,high
HD,DIS,0.9999999999999999,high
HD,MACD_Sig,0.0,low
HD,MMM,0.9999999999999999,high
HD,XOM,0.9999999999999999,high
HD,VZ,0.9999999999999999,high
HD,MACD,0.0,low
HD,MSFT,0.9999999999999999,high
HD,Vol_30d,0.0,low
HD,NKE,0.9999999999999999,high
HD,V,0.9999999999999999,high
HD,WMT,0.9999999999999999,high
HD,CVX,0.9999999999999999,high
HD,NVDA,0.9999999999999999,high
HD,LogRet_1d,0.0,low
HD,PG,0.9999999999999999,high
HD,MACD_Hist,0.0,low
HD,COST,0.9999999999999999,high
HD,TXN,0.9999999999999999,high
HD,GOOGL,0.9999999999999999,high
HD,NFLX,0.9999999999999999,high
HD,GOOG,0.9999999999999999,high
Price_to_SMA50,ADBE,0.0,low
Price_to_SMA50,AVGO,0.0,low
Price_to_SMA50,ATR_14,0.0,low
Price_to_SMA50,QCOM,0.0,low
Price_to_SMA50,KO,0.0,low
Price_to_SMA50,JNJ,0.0,low
Price_to_SMA50,CRM,0.0,low
Price_to_SMA50,TSLA,0.0,low
Price_to_SMA50,ORCL,0.0,low
Price_to_SMA50,SBUX,0.0,low
Price_to_SMA50,CAT,0.0,low
Price_to_SMA50,AXP,0.0,low
Price_to_SMA50,INTC,0.0,low
Price_to_SMA50,AAPL,0.0,low
Price_to_SMA50,META,0.0,low
Price_to_SMA50,CSCO,0.0,low
Price_to_SMA50,RSI_14,0.0,low
Price_to_SMA50,LLY,0.0,low
Price_to_SMA50,MA,0.0,low
Price_to_SMA50,CMCSA,0.0,low
Price_to_SMA50,TMO,0.0,low
Price_to_SMA50,PFE,0.0,low
Price_to_SMA50,ACN,0.0,low
Price_to_SMA50,BB_Width,0.0,low
Price_to_SMA50,LogRet_5d,0.0,low
Price_to_SMA50,LogRet_20d,0.0,low
Price_to_SMA50,IBM,0.0,low
Price_to_SMA50,ABBV,0.0,low
Price_to_SMA50,AMZN,0.0,low
Price_to_SMA50,FDX,0.0,low
Price_to_SMA50,PEP,0.0,low
Price_to_SMA50,JPM,0.0,low
Price_to_SMA50,UNH,0.0,low
Price_to_SMA50,MCD,0.0,low
Price_to_SMA50,BRK-B,0.0,low
Price_to_SMA50,MRK,0.0,low
Price_to_SMA50,DIS,0.0,low
Price_to_SMA50,MACD_Sig,0.0,low
Price_to_SMA50,MMM,0.0,low
Price_to_SMA50,XOM,0.0,low
Price_to_SMA50,VZ,0.0,low
Price_to_SMA50,MACD,0.0,low
Price_to_SMA50,MSFT,0.0,low
Price_to_SMA50,Vol_30d,0.0,low
Price_to_SMA50,NKE,0.0,low
Price_to_SMA50,V,0.0,low
Price_to_SMA50,WMT,0.0,low
Price_to_SMA50,CVX,0.0,low
Price_to_SMA50,NVDA,0.0,low
Price_to_SMA50,LogRet_1d,0.0,low
Price_to_SMA50,PG,0.0,low
Price_to_SMA50,MACD_Hist,0.0,low
Price_to_SMA50,COST,0.0,low
Price_to_SMA50,TXN,0.0,low
Price_to_SMA50,GOOGL,0.0,low
Price_to_SMA50,NFLX,0.0,low
Price_to_SMA50,GOOG,0.0,low
ADBE,AVGO,0.9999999999999999,high
ADBE,ATR_14,0.0,low
